subset,hellwig_score
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'total_repayment')",0.9540471461436763
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'avg_balance_amt')",0.9389741806398303
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'avg_rr_per_city')",0.9319696599488678
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'tenure_years')",0.926360066613657
"('collateral_value', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'vintage_in_months')",0.9259232966453206
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'interest')",0.9252501070682572
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'monthly_emi')",0.9252300377946778
"('loan_amount', 'cheque_bounces', 'number_of_loans', 'missed_repayments', 'vintage_in_months')",0.9252277901277934
"('cheque_bounces', 'number_of_loans', 'missed_repayments', 'vintage_in_months')",0.9252013256967999
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_balance_amt')",0.849713174750748
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'total_repayment', 'avg_rr_per_city')",0.8427086540597856
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'total_repayment')",0.8370990607245747
"('collateral_value', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'total_repayment')",0.8366622907562383
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'interest', 'total_repayment')",0.8359891011791749
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'monthly_emi', 'total_repayment')",0.8359690319055956
"('loan_amount', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'total_repayment')",0.8359667842387112
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'total_repayment')",0.8359403198077177
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'avg_balance_amt', 'avg_rr_per_city')",0.8276356885559396
"('number_of_loans', 'missed_repayments', 'vintage_in_months', 'tenure_years', 'avg_balance_amt')",0.8220260952207288
"('collateral_value', 'number_of_loans', 'missed_repayments', 'vintage_in_months', 'avg_balance_amt')",0.8215893252523924
